# E_eV,sigma_cm2
# H electron impact ionization cross section
# E_eV: beam energy [eV]  sigma_cm2: cross section [cm^2]
4.275298049293165548e+01,8.130632311503667960e-17
4.293723851717810902e+01,8.118612409289452876e-17
4.312229066195388327e+01,8.106343178459939068e-17
4.330814034978246951e+01,8.093831518212807409e-17
4.349479101793783542e+01,8.081084248841552517e-17
4.368224611850802575e+01,8.068108111042024722e-17
4.387050911845896906e+01,8.054909764899570870e-17
4.405958349969865395e+01,8.041495789289527151e-17
4.424947275914147582e+01,8.027872681135532080e-17
4.444018040877293885e+01,8.014046854800834025e-17
4.463170997571459964e+01,8.000024641633914721e-17
4.482406500228930923e+01,7.985812289427574742e-17
4.501724904608672517e+01,7.971415961937336385e-17
4.521126568002909352e+01,7.956841738754067286e-17
4.540611849243736486e+01,7.942095614779596224e-17
4.560181108709752351e+01,7.927183500115814073e-17
4.579834708332725768e+01,7.912111219868800868e-17
4.599573011604289263e+01,7.896884513984523337e-17
4.619396383582662224e+01,7.881509037250232662e-17
4.639305190899403186e+01,7.865990359186051575e-17
4.659299801766189120e+01,7.850333964084927692e-17
4.679380585981625984e+01,7.834545251111270715e-17
4.699547914938088411e+01,7.818629534414854080e-17
4.719802161628589943e+01,7.802592043222521273e-17
4.740143700653678849e+01,7.786437922133397303e-17
4.760572908228368050e+01,7.770172231190634365e-17
4.781090162189092041e+01,7.753799946393208776e-17
4.801695842000696501e+01,7.737325959727083444e-17
4.822390328763457745e+01,7.720755079732122756e-17
4.843174005220121359e+01,7.704092031741318348e-17
4.864047255762997679e+01,7.687341458347597544e-17
4.885010466441056565e+01,7.670507919809943740e-17
4.906064024967075454e+01,7.653595894528709756e-17
4.927208320724806612e+01,7.636609779589617544e-17
4.948443744776178477e+01,7.619553891131574446e-17
4.969770689868531122e+01,7.602432465078680652e-17
4.991189550441877998e+01,7.585249657541535063e-17
5.012700722636200368e+01,7.568009545544535467e-17
5.034304604298776553e+01,7.550716127511021828e-17
5.056001594991540316e+01,7.533373323988016367e-17
5.077792095998460553e+01,7.515984978197263847e-17
5.099676510332979973e+01,7.498554856821225472e-17
5.121655242745457315e+01,7.481086650559642437e-17
5.143728699730655762e+01,7.463583974946218971e-17
5.165897289535262615e+01,7.446050370920071947e-17
5.188161422165436676e+01,7.428489305669095910e-17
5.210521509394394712e+01,7.410904173367970806e-17
5.232977964770023505e+01,7.393298295813409482e-17
5.255531203622533098e+01,7.375674923251777542e-17
5.278181643072132800e+01,7.358037235201430310e-17
5.300929702036751223e+01,7.340388341148567032e-17
5.323775801239779071e+01,7.322731281352545693e-17
5.346720363217854555e+01,7.305069027662789163e-17
5.369763812328675812e+01,7.287404484295558038e-17
5.392906574758850269e+01,7.269740488655838933e-17
5.416149078531775984e+01,7.252079812123090623e-17
5.439491753515559225e+01,7.234425160894609071e-17
5.462935031430963306e+01,7.216779176784286070e-17
5.486479345859395806e+01,7.199144438077305528e-17
5.510125132250923485e+01,7.181523460268154883e-17
5.533872827932331262e+01,7.163918696989781233e-17
5.557722872115204638e+01,7.146332540818615251e-17
5.581675705904057594e+01,7.128767324034029773e-17
5.605731772304489624e+01,7.111225319501596537e-17
5.629891516231376158e+01,7.093708741515648791e-17
5.654155384517100913e+01,7.076219746594621954e-17
5.678523825919819501e+01,7.058760434300777472e-17
5.702997291131757152e+01,7.041332848109086264e-17
5.727576232787545507e+01,7.023938976182438638e-17
5.752261105472593528e+01,7.006580752240329290e-17
5.777052365731500316e+01,6.989260056314880643e-17
5.801950472076483578e+01,6.971978715567117899e-17
5.826955884995878421e+01,6.954738505161658016e-17
5.852069066962644683e+01,6.937541149085670579e-17
