# eps,sigma_cm2
# He electron impact ionization cross section (a_11s coefficients)
# eps = E_beam/IE_He (dimensionless)  sigma_cm2: cross section [cm^2]
2.944957959559617588e+00,3.247016853776395709e-17
2.955898815211544406e+00,3.254872661634947717e-17
2.966880317393588928e+00,3.262675792668476669e-17
2.977902617112258010e+00,3.270425990457930212e-17
2.988965865935067523e+00,3.278123003629385099e-17
3.000070215992622913e+00,3.285766585854428058e-17
3.011215819980711306e+00,3.293356495849405757e-17
3.022402831162404269e+00,3.300892497373576535e-17
3.033631403370161017e+00,3.308374359226166954e-17
3.044901691007948052e+00,3.315801855242381282e-17
3.056213849053357912e+00,3.323174764288354624e-17
3.067568033059744792e+00,3.330492870255115679e-17
3.078964399158360177e+00,3.337755962051530123e-17
3.090403104060501338e+00,3.344963833596292449e-17
3.101884305059666058e+00,3.352116283808951433e-17
3.113408160033714900e+00,3.359213116600021642e-17
3.124974827447043690e+00,3.366254140860172344e-17
3.136584466352760447e+00,3.373239170448544969e-17
3.148237236394874738e+00,3.380168024180186801e-17
3.159933297810491926e+00,3.387040525812660680e-17
3.171672811432013628e+00,3.393856504031803602e-17
3.183455938689358167e+00,3.400615792436708772e-17
3.195282841612169467e+00,3.407318229523884297e-17
3.207153682832050379e+00,3.413963658670688954e-17
3.219068625584801779e+00,3.420551928117987726e-17
3.231027833712662112e+00,3.427082890952086889e-17
3.243031471666561583e+00,3.433556405085975762e-17
3.255079704508387017e+00,3.439972333239848621e-17
3.267172697913247159e+00,3.446330542920986897e-17
3.279310618171752179e+00,3.452630906402949891e-17
3.291493632192303842e+00,3.458873300704173220e-17
3.303721907503384791e+00,3.465057607565900435e-17
3.315995612255865588e+00,3.471183713429550111e-17
3.328314915225317971e+00,3.477251509413481424e-17
3.340679985814332564e+00,3.483260891289186578e-17
3.353090994054852114e+00,3.489211759456955061e-17
3.365548110610505184e+00,3.495104018920967828e-17
3.378051506778954938e+00,3.500937579263911389e-17
3.390601354494258590e+00,3.506712354621064339e-17
3.403197826329224629e+00,3.512428263653893943e-17
3.415841095497789137e+00,3.518085229523202816e-17
3.428531335857400553e+00,3.523683179861802902e-17
3.441268721911405759e+00,3.529222046746750038e-17
3.454053428811450388e+00,3.534701766671152036e-17
3.466885632359891556e+00,3.540122280515574327e-17
3.479765509012209712e+00,3.545483533519036991e-17
3.492693235879437808e+00,3.550785475249630310e-17
3.505668990730598455e+00,3.556028059574764234e-17
3.518692951995143758e+00,3.561211244631061007e-17
3.531765298765415118e+00,3.566334992793903910e-17
3.544886210799098603e+00,3.571399270646662437e-17
3.558055868521702525e+00,3.576404048949585907e-17
3.571274453029038121e+00,3.581349302608424675e-17
3.584542146089706005e+00,3.586235010642717307e-17
3.597859130147596840e+00,3.591061156153841710e-17
3.611225588324405766e+00,3.595827726292772297e-17
3.624641704422141952e+00,3.600534712227606028e-17
3.638107662925660346e+00,3.605182109110808664e-17
3.651623649005201422e+00,3.609769916046284139e-17
3.665189848518930482e+00,3.614298136056176451e-17
3.678806448015498276e+00,3.618766776047487913e-17
3.692473634736606947e+00,3.623175846778497088e-17
3.706191596619581752e+00,3.627525362824992471e-17
3.719960522299954331e+00,3.631815342546315716e-17
3.733780601114063735e+00,3.636045808051261279e-17
3.747652023101649910e+00,3.640216785163807190e-17
3.761574979008477371e+00,3.644328303388706543e-17
3.775549660288949116e+00,3.648380395876937236e-17
3.789576259108743184e+00,3.652373099391038315e-17
3.803654968347458531e+00,3.656306454270316277e-17
3.817785981601260481e+00,3.660180504395950918e-17
3.831969493185546138e+00,3.663995297156016129e-17
3.846205698137620033e+00,3.667750883410384833e-17
3.860494792219369753e+00,3.671447317455581531e-17
3.874836971919959794e+00,3.675084656989546107e-17
3.889232434458537835e+00,3.678662963076341544e-17
3.903681377786940576e+00,3.682182300110806795e-17
3.918184000592417782e+00,3.685642735783160963e-17
3.932740502300368757e+00,3.689044341043574201e-17
3.947351083077076161e+00,3.692387190066702869e-17
3.962015943832468690e+00,3.695671360216203118e-17
3.976735286222873533e+00,3.698896932009222907e-17
3.991509312653795494e+00,3.702063989080902642e-17
4.006338226282701420e+00,3.705172618148856102e-17
4.021222231021809534e+00,3.708222908977665532e-17
4.036161531540892966e+00,3.711214954343384137e-17
4.051156333270101051e+00,3.714148849998073700e-17
4.066206842402777966e+00,3.717024694634342206e-17
4.081313265898296017e+00,3.719842589849932615e-17
4.096475811484912022e+00,3.722602640112347994e-17
4.111694687662611258e+00,3.725304952723514251e-17
4.126970103705982496e+00,3.727949637784495244e-17
4.142302269667094805e+00,3.730536808160265217e-17
4.157691396378383253e+00,3.733066579444549019e-17
4.173137695455547025e+00,3.735539069924715329e-17
4.188641379300467982e+00,3.737954400546759862e-17
4.204202661104119443e+00,3.740312694880351433e-17
4.219821754849507833e+00,3.742614079083976633e-17
4.235498875314608114e+00,3.744858681870147362e-17
4.251234238075319638e+00,3.747046634470735328e-17
4.267028059508434445e+00,3.749178070602382339e-17
4.282880556794604665e+00,3.751253126432009213e-17
4.298791947921335677e+00,3.753271940542454106e-17
