# T_eV,rate_cm3_s
# He electron-impact ionization rate averaged over a 3D Maxwellian
# Generated with He_EII_cross, a_11s, and E_ion
2.038493398252463340e+00,1.897962239039471929e-14
2.052637752709252084e+00,2.071598684535910031e-14
2.066880249629082122e+00,2.259821834249873755e-14
2.081221569986338338e+00,2.463740718625989157e-14
2.095662399480433091e+00,2.684539071351433316e-14
2.110203428568595552e+00,2.923479635739232871e-14
2.124845352498883067e+00,3.181908669984075808e-14
2.139588871343421683e+00,3.461260657476904876e-14
2.154434690031883370e+00,3.763063228393185261e-14
2.169383518385184395e+00,4.088942298788638404e-14
2.184436071149427505e+00,4.440627433446595977e-14
2.199593068030074594e+00,4.819957438720124929e-14
2.214855233726359174e+00,5.228886191601686485e-14
2.230223297965937324e+00,5.669488711231320669e-14
2.245697995539774006e+00,6.143967479021467571e-14
2.261280066337278516e+00,6.654659013532805298e-14
2.276970255381680186e+00,7.204040706178768583e-14
2.292769312865650111e+00,7.794737923768621124e-14
2.308677994187168458e+00,8.429531383818097745e-14
2.324697059985648018e+00,9.111364808463788573e-14
2.340827276178293115e+00,9.843352862709896771e-14
2.357069413996727647e+00,1.062878938261877726e-13
2.373424250023867366e+00,1.147115589892154522e-13
2.389892566231048843e+00,1.237413046138022229e-13
2.406475150015424003e+00,1.334159676907291848e-13
2.423172794237599348e+00,1.437765361159813463e-13
2.439986297259550074e+00,1.548662462600940364e-13
2.456916462982791316e+00,1.667306837408728398e-13
2.473964100886812734e+00,1.794178874434137569e-13
2.491130026067788439e+00,1.929784568290617638e-13
2.508415059277540049e+00,2.074656625724841435e-13
2.525820026962784848e+00,2.229355605635031849e-13
2.543345761304649510e+00,2.394471093075828636e-13
2.560993100258458277e+00,2.570622907560374217e-13
2.578762887593800901e+00,2.758462345940463807e-13
2.596655972934871048e+00,2.958673460114303205e-13
2.614673211801092023e+00,3.171974369779224992e-13
2.632815465648021380e+00,3.399118610412733283e-13
2.651083601908537535e+00,3.640896516630367427e-13
2.669478494034320804e+00,3.898136641032819901e-13
2.688001021537606228e+00,4.171707208616909171e-13
2.706652070033241486e+00,4.462517606787224206e-13
2.725432531281029025e+00,4.771519910964961596e-13
2.744343303228363951e+00,5.099710445750220808e-13
2.763385290053169907e+00,5.448131381552301112e-13
2.782559402207124499e+00,5.817872366559688223e-13
2.801866556459195134e+00,6.210072193878506696e-13
2.821307675939472404e+00,6.625920503623261906e-13
2.840883690183302779e+00,7.066659519698855353e-13
